medal_id;medal_type;medal_code;medal_date;name;gender;discipline;event;event_type;url_event;code;country_code;country;country_long
326;Bronze Medal;3.0;2024-08-02;Australia;W;Rowing;Women's Pair;TEAM;/en/paris-2024/results/rowing/women-s-pair/fnl---------;ROWWNOCOX2--AUS01;AUS;Australia;Australia
327;Gold Medal;1.0;2024-08-02;BOTIN/TRITTEL;M;Sailing;Men's Skiff;TEAM;/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--;SALM49ER----ESP01;ESP;Spain;Spain
328;Silver Medal;2.0;2024-08-02;McHARDIE/McKENZIE;M;Sailing;Men's Skiff;TEAM;/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--;SALM49ER----NZL01;NZL;New Zealand;New Zealand
329;Bronze Medal;3.0;2024-08-02;BARROWS/HENKEN;M;Sailing;Men's Skiff;TEAM;/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--;SALM49ER----USA01;USA;United States;United States of America
330;Gold Medal;1.0;2024-08-02;AANHOLT/DUETZ;W;Sailing;Women's Skiff;TEAM;/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--;SALW49ERFX--NED01;NED;Netherlands;Netherlands
331;Silver Medal;2.0;2024-08-02;BOBECK/NETZLER;W;Sailing;Women's Skiff;TEAM;/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--;SALW49ERFX--SWE01;SWE;Sweden;Sweden
332;Bronze Medal;3.0;2024-08-02;STEYAERT/PICON;W;Sailing;Women's Skiff;TEAM;/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--;SALW49ERFX--FRA01;FRA;France;France
333;Gold Medal;1.0;2024-08-02;Chiara LEONE;W;Shooting;50m Rifle 3 Positions Women;ATH;/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--;1977709;SUI;Switzerland;Switzerland
334;Silver Medal;2.0;2024-08-02;Sagen MADDALENA;W;Shooting;50m Rifle 3 Positions Women;ATH;/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--;1944373;USA;United States;United States of America
335;Bronze Medal;3.0;2024-08-02;ZHANG Qiongyue;W;Shooting;50m Rifle 3 Positions Women;ATH;/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--;1913972;CHN;China;People's Republic of China
336;Gold Medal;1.0;2024-08-02;Leon MARCHAND;M;Swimming;Men's 200m Individual Medley;ATH;/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--;1909294;FRA;France;France
337;Silver Medal;2.0;2024-08-02;Duncan SCOTT;M;Swimming;Men's 200m Individual Medley;ATH;/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--;1903621;GBR;Great Britain;Great Britain
338;Bronze Medal;3.0;2024-08-02;WANG Shun;M;Swimming;Men's 200m Individual Medley;ATH;/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--;1945186;CHN;China;People's Republic of China
339;Gold Medal;1.0;2024-08-02;Cameron McEVOY;M;Swimming;Men's 50m Freestyle;ATH;/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--;1946161;AUS;Australia;Australia
340;Silver Medal;2.0;2024-08-02;Benjamin PROUD;M;Swimming;Men's 50m Freestyle;ATH;/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--;1903616;GBR;Great Britain;Great Britain
341;Bronze Medal;3.0;2024-08-02;Florent MANAUDOU;M;Swimming;Men's 50m Freestyle;ATH;/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--;1909292;FRA;France;France
342;Gold Medal;1.0;2024-08-02;Kaylee McKEOWN;W;Swimming;Women's 200m Backstroke;ATH;/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--;1946198;AUS;Australia;Australia
343;Silver Medal;2.0;2024-08-02;Regan SMITH;W;Swimming;Women's 200m Backstroke;ATH;/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--;1935984;USA;United States;United States of America
344;Bronze Medal;3.0;2024-08-02;Kylie MASSE;W;Swimming;Women's 200m Backstroke;ATH;/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--;1967104;CAN;Canada;Canada
345;Gold Medal;1.0;2024-08-02;SINIAKOVA/MACHAC;X;Tennis;Mixed Doubles;HCOUP;/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--;TENXDOUBLES-CZE01;CZE;Czechia;Czechia
346;Silver Medal;2.0;2024-08-02;WANG/ZHANG;X;Tennis;Mixed Doubles;HCOUP;/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--;TENXDOUBLES-CHN01;CHN;China;People's Republic of China
347;Bronze Medal;3.0;2024-08-02;DABROWSKI/AUGER-ALIAS;X;Tennis;Mixed Doubles;HCOUP;/en/paris-2024/results/tennis/mixed-doubles/fnl-000200--;TENXDOUBLES-CAN01;CAN;Canada;Canada
348;Bronze Medal;3.0;2024-08-02;Iga SWIATEK;W;Tennis;Women's Singles;HATH;/en/paris-2024/results/tennis/women-s-singles/fnl-000200--;1931815;POL;Poland;Poland
349;Gold Medal;1.0;2024-08-02;Ivan LITVINOVICH;M;Trampoline Gymnastics;Men;ATH;/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--;1937347;AIN;AIN;AIN
350;Silver Medal;2.0;2024-08-02;WANG Zisai;M;Trampoline Gymnastics;Men;ATH;/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--;1918790;CHN;China;People's Republic of China
351;Bronze Medal;3.0;2024-08-02;YAN Langyu;M;Trampoline Gymnastics;Men;ATH;/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--;1918789;CHN;China;People's Republic of China
352;Gold Medal;1.0;2024-08-02;Bryony PAGE;W;Trampoline Gymnastics;Women;ATH;/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--;1904745;GBR;Great Britain;Great Britain
353;Silver Medal;2.0;2024-08-02;Viyaleta BARDZILOUSKAYA;W;Trampoline Gymnastics;Women;ATH;/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--;1938437;AIN;AIN;AIN
